sample	chr	startpos	endpos	nProbesCr	nProbesAf	logR	baf	nMajor	nMinor	purifiedLogR	purifiedLoh
patient2_p1	chr14	19960301	35048350	13020	7647	-0.037	0.493	1	1	-0.061	0.024
patient2_p1	chr14	35048351	35707350	560	119	0.299	0.398	2	1	0.462	0.298
patient2_p1	chr14	35707351	106865450	64361	35263	-0.036	0.496	1	1	-0.06	0.013
patient2_p1	chr14	106865451	106883450	18	9	-0.942	0.491	0	0	-2.226	0.072
patient2_p1	chr15	17034751	23123050	532	395	-0.587	0.291	1	0	-1.145	1.011
patient2_p1	chr15	23368151	23426150	50	2	0.236	0.457	2	1	0.37	0.13
patient2_p1	chr15	23434151	101885550	68467	42097	-0.575	0.279	1	0	-1.116	1.055
patient2_p1	chr16	17001	79000	46	2	-0.892	0.487	0	0	-2.036	0.094
patient2_p1	chr16	79001	16222250	13476	11782	-0.538	0.281	1	0	-1.031	1.009
patient2_p1	chr16	16449251	16653250	36	8	0.16	0.46	2	1	0.253	0.124
patient2_p1	chr16	16749251	69945000	33689	15014	-0.561	0.28	1	0	-1.085	1.037
patient2_p1	chr16	69945001	70200000	79	22	0.183	0.434	2	1	0.29	0.201
patient2_p1	chr16	70206001	90100000	17299	14827	-0.54	0.282	1	0	-1.036	1.009
patient2_p1	chr17	387901	1078850	510	437	-0.012	0.199	2	0	-0.02	0.992
patient2_p1	chr17	1079851	1720750	500	375	0.364	0.151	3	0	0.557	1
patient2_p1	chr17	1720751	28845950	18842	11133	-0.033	0.195	2	0	-0.054	1.016
patient2_p1	chr17	28846951	29626950	659	121	0.384	0.146	3	0	0.584	1.009
patient2_p1	chr17	29626951	39669200	7900	4266	-0.091	0.2	2	0	-0.152	1.026
patient2_p1	chr17	39669201	40382200	595	349	0.313	0.156	3	0	0.482	1.002
patient2_p1	chr17	40382201	44807050	3655	1795	-0.056	0.2	2	0	-0.094	1.008
patient2_p1	chr17	44807051	45506050	557	305	0.392	0.151	3	0	0.596	0.993
patient2_p1	chr17	45507051	49917300	3087	1576	-0.031	0.192	2	0	-0.051	1.025
patient2_p1	chr17	49917301	50494300	519	289	0.419	0.154	3	0	0.634	0.977
patient2_p1	chr17	50494301	72901050	19791	10809	-0.057	0.195	2	0	-0.094	1.028
patient2_p1	chr17	72901051	82502050	8415	5351	0.01	0.196	2	0	0.016	0.991
patient2_p1	chr17	82503051	83204050	583	524	0.26	0.164	3	0	0.404	0.998
patient2_p1	chr18	64351	80217250	67991	39208	0.034	0.477	1	1	0.055	0.075
patient2_p1	chr18	80217251	80257250	39	26	-0.55	0.491	1	1	-1.058	0.043
patient2_p1	chr19	270951	1168950	669	630	0.044	0.466	1	1	0.072	0.11
patient2_p1	chr19	1168951	1688950	413	194	-0.532	0.341	1	0	-1.015	0.728
patient2_p1	chr19	1689951	3799950	1604	1034	-0.026	0.468	1	1	-0.043	0.107
patient2_p1	chr19	3799951	3846950	38	8	0.488	0.383	2	1	0.731	0.324
patient2_p1	chr19	3846951	12649250	6657	3916	-0.057	0.467	1	1	-0.094	0.11
patient2_p1	chr19	12651251	13319250	521	197	0.586	0.347	3	1	0.865	0.413
patient2_p1	chr19	13319251	19723250	5069	2998	0.339	0.418	2	1	0.521	0.238
patient2_p1	chr19	19723251	36319450	11908	8377	0.304	0.424	2	1	0.469	0.223
patient2_p1	chr19	36319451	44571450	6449	3839	0.206	0.382	2	1	0.323	0.358
patient2_p1	chr19	44571451	45124450	442	249	0.492	0.323	3	1	0.737	0.49
patient2_p1	chr19	45124451	58538400	10550	7314	0.215	0.383	2	1	0.338	0.352
patient2_p1	chr20	67651	32665750	26250	15223	0.63	0.315	3	1	0.924	0.494
patient2_p1	chr20	32666751	36273750	3005	1622	-0.035	0.496	1	1	-0.058	0.013
patient2_p1	chr20	36273751	36364750	83	22	0.759	0.322	4	1	1.095	0.461
patient2_p1	chr20	36364751	39042750	2359	709	-0.019	0.49	1	1	-0.032	0.032
patient2_p1	chr20	39042751	50054950	10017	5012	0.349	0.384	2	1	0.534	0.336
patient2_p1	chr20	50055951	50404950	307	147	0.678	0.323	3	1	0.988	0.468
patient2_p1	chr20	50404951	64285950	12609	8515	0.354	0.382	2	1	0.543	0.34
patient2_p1	chr21	12965551	30911800	16036	9217	-0.059	0.494	1	1	-0.098	0.022
patient2_p1	chr21	30911801	31650800	650	338	0.387	0.376	2	1	0.59	0.352
patient2_p1	chr21	31650801	33139800	1369	831	-0.009	0.49	1	1	-0.014	0.033
patient2_p1	chr21	33139801	33463800	283	95	0.286	0.395	2	1	0.442	0.309
patient2_p1	chr21	33464801	46681650	11416	8050	-0.051	0.488	1	1	-0.085	0.039
patient2_p1	chr22	10684001	40120000	19593	8547	-0.096	0.202	2	0	-0.16	1.021
patient2_p1	chr22	40120001	40523000	335	182	-0.577	0.286	1	0	-1.121	1.023
patient2_p1	chr22	40523001	43687000	2530	1077	-0.102	0.201	2	0	-0.172	1.028
patient2_p1	chr22	43687001	43872000	171	69	-0.653	0.288	1	0	-1.312	1.096
patient2_p1	chr22	43872001	46136000	2034	1381	-0.09	0.2	2	0	-0.151	1.027
patient2_p1	chr22	46136001	47032000	802	372	0.256	0.166	3	0	0.399	0.992
patient2_p1	chr22	47032001	50776650	3346	2633	-0.096	0.208	2	0	-0.162	1.003
patient2_p1	chrX	330051	153985150	127084	39902	-0.583	0.271	1	0	-1.135	1.099
patient2_p1	chrX	153985151	154528150	314	13	-0.014	0.246	2	0	-0.023	0.838
patient2_p1	chrX	154530151	155983250	1096	155	-0.531	0.266	1	0	-1.013	1.074
patient2_p2	chr1	794251	75891500	65217	33780	0.002	0.498	1	1	0.003	0.006
patient2_p2	chr1	75891501	125126750	40611	23414	0.355	0.387	2	1	0.454	0.279
patient2_p2	chr1	125126751	158246200	8619	4456	0.462	0.364	2	1	0.585	0.33
patient2_p2	chr1	158246201	178640650	18674	10832	0.352	0.388	2	1	0.449	0.276
patient2_p2	chr1	178641651	187378650	8101	3957	0.441	0.366	2	1	0.559	0.327
patient2_p2	chr1	187378651	201877900	13126	7688	0.328	0.39	2	1	0.42	0.272
patient2_p2	chr1	201877901	202315900	380	226	0.656	0.317	3	1	0.817	0.434
patient2_p2	chr1	202315901	214135900	10612	4551	0.359	0.39	2	1	0.459	0.273
patient2_p2	chr1	214136901	214958900	779	413	0.673	0.31	3	1	0.837	0.449
patient2_p2	chr1	214958901	220275900	4953	2354	0.354	0.388	2	1	0.453	0.277
patient2_p2	chr1	220275901	220521900	236	96	-0.022	0.487	1	1	-0.029	0.034
patient2_p2	chr1	220521901	238632350	16254	8785	0.506	0.351	2	1	0.638	0.361
patient2_p2	chr1	238632351	244406350	5143	3181	0.34	0.388	2	1	0.434	0.278
patient2_p2	chr1	244406351	244557350	130	77	-0.029	0.488	1	1	-0.038	0.032
patient2_p2	chr1	244558351	248930600	3722	3138	0.512	0.345	2	1	0.645	0.374
patient2_p2	chr2	11001	999000	909	864	-0.103	0.141	2	0	-0.138	0.975
patient2_p2	chr2	999001	28293150	25138	15902	-0.038	0.133	2	0	-0.05	0.98
patient2_p2	chr2	28293151	29100150	730	381	0.422	0.099	3	0	0.536	0.981
patient2_p2	chr2	29100151	70190750	37511	25613	-0.03	0.133	2	0	-0.04	0.979
patient2_p2	chr2	70190751	70980750	720	478	0.442	0.366	2	1	0.56	0.327
patient2_p2	chr2	70980751	71513750	483	131	-0.027	0.133	2	0	-0.035	0.978
patient2_p2	chr2	71513751	71588750	69	67	0.399	0.108	3	0	0.508	0.962
patient2_p2	chr2	71588751	121547450	37417	19209	-0.048	0.134	2	0	-0.063	0.979
patient2_p2	chr2	121547451	121841450	257	60	0.403	0.101	3	0	0.512	0.98
patient2_p2	chr2	121841451	134980250	11424	5955	-0.069	0.136	2	0	-0.092	0.979
patient2_p2	chr2	134980251	135044250	58	1	0.417	0.489	2	2	0.53	0.026
patient2_p2	chr2	135044251	141299250	5820	2905	-0.069	0.138	2	0	-0.093	0.974
patient2_p2	chr2	141299251	141683250	352	412	-0.751	0.22	1	0	-1.111	0.953
patient2_p2	chr2	141683251	170815150	26997	11090	-0.062	0.136	2	0	-0.083	0.977
patient2_p2	chr2	170815151	171096150	252	14	0.413	0.122	3	0	0.525	0.926
patient2_p2	chr2	171096151	242110100	65067	33487	-0.057	0.135	2	0	-0.076	0.978
patient2_p2	chr3	12351	751350	695	655	-0.102	0.138	2	0	-0.137	0.983
patient2_p2	chr3	751351	86623750	78525	44752	-0.025	0.132	2	0	-0.033	0.981
patient2_p2	chr3	86623751	93775200	3685	1865	0.484	0.092	3	0	0.612	0.988
patient2_p2	chr3	93775201	117009350	21507	7616	0.641	0.084	4	0	0.799	0.988
patient2_p2	chr3	117009351	117174350	150	88	0.236	0.111	3	0	0.305	0.981
patient2_p2	chr3	117175351	158745850	38127	22129	0.655	0.082	4	0	0.816	0.989
patient2_p2	chr3	158745851	169387550	9770	4945	0.882	0.07	5	0	1.081	0.992
patient2_p2	chr3	169387551	169642550	238	106	1.72	0.042	9	0	2.014	0.99
patient2_p2	chr3	169642551	169710550	59	2	2.061	0.485	6	5	2.378	0.031
patient2_p2	chr3	169710551	170162550	407	119	1.738	0.037	9	0	2.033	0.999
patient2_p2	chr3	170162551	186414450	14722	6308	0.911	0.068	5	0	1.115	0.992
patient2_p2	chr3	186414451	186822450	375	183	1.162	0.063	6	0	1.4	0.981
patient2_p2	chr3	186822451	198098650	9836	7065	0.915	0.069	5	0	1.119	0.99
patient2_p2	chr4	137201	2375650	1915	885	0.013	0.492	1	1	0.018	0.022
patient2_p2	chr4	2376651	2640650	211	168	0.477	0.376	2	1	0.603	0.3
patient2_p2	chr4	2642651	7966750	4833	4258	-0.022	0.495	1	1	-0.029	0.013
patient2_p2	chr4	7966751	8668750	643	707	0.414	0.367	2	1	0.526	0.326
patient2_p2	chr4	8668751	177237050	152164	90503	-0.031	0.494	1	1	-0.041	0.017
patient2_p2	chr4	177237051	177306050	66	24	0.409	0.384	2	1	0.52	0.285
patient2_p2	chr4	177307051	181589050	3950	3295	-0.043	0.496	1	1	-0.057	0.011
patient2_p2	chr4	181589051	182195050	567	384	-0.676	0.218	1	0	-0.987	0.927
patient2_p2	chr4	182195051	190037450	6869	5833	-0.022	0.486	1	1	-0.029	0.036
patient2_p2	chr5	43851	14952700	13636	9231	0.52	0.421	2	1	0.655	0.191
patient2_p2	chr5	14952701	16411700	1387	751	0.137	0.461	1	1	0.178	0.099
patient2_p2	chr5	16411701	16799700	364	348	0.541	0.419	2	1	0.68	0.194
patient2_p2	chr5	16799701	16911700	100	100	0.168	0.462	1	1	0.218	0.097
patient2_p2	chr5	16911701	17516700	525	216	0.562	0.421	2	1	0.706	0.19
patient2_p2	chr5	17630201	17645200	14	0	-0.749	NA	NA	NA	-1.107	NA
patient2_p2	chr5	17645201	42003550	21917	12679	0.53	0.418	2	1	0.666	0.197
patient2_p2	chr5	42004551	42846550	798	611	0.403	0.36	2	1	0.512	0.344
patient2_p2	chr5	42847551	50712050	3844	2846	0.491	0.41	2	1	0.62	0.219
patient2_p2	chr5	50712051	62232250	10708	5789	0.308	0.316	2	1	0.395	0.46
patient2_p2	chr5	62232251	62675250	384	24	0.507	0.388	2	1	0.639	0.27
patient2_p2	chr5	62675251	62887250	190	245	0.864	0.486	2	2	1.06	0.032
patient2_p2	chr5	62887251	139351350	68479	36499	-0.029	0.134	2	0	-0.039	0.976
patient2_p2	chr5	139351351	139411350	52	1	0.767	0.488	2	2	0.948	0.027
patient2_p2	chr5	139411351	181171350	37550	23937	-0.024	0.131	2	0	-0.032	0.982
patient2_p2	chr6	148001	17963550	16122	10738	0.303	0.105	3	0	0.389	0.985
patient2_p2	chr6	17963551	18472550	442	213	0.711	0.083	4	0	0.882	0.98
patient2_p2	chr6	18472551	73356400	47459	35455	0.323	0.103	3	0	0.414	0.986
patient2_p2	chr6	73357401	79569400	5616	4529	-0.035	0.133	2	0	-0.046	0.98
patient2_p2	chr6	79569401	79941400	352	314	0.382	0.099	3	0	0.487	0.987
patient2_p2	chr6	79941401	170610150	83722	51297	-0.683	0.208	1	0	-0.999	0.96
patient2_p2	chr7	50351	64599600	53863	37385	-0.052	0.497	1	1	-0.07	0.007
patient2_p2	chr7	64599601	64699600	90	72	0.354	0.378	2	1	0.452	0.301
patient2_p2	chr7	64701601	104505150	33330	15717	-0.043	0.491	1	1	-0.057	0.023
patient2_p2	chr7	104505151	105292150	711	3	0.412	0.475	2	1	0.523	0.061
patient2_p2	chr7	105293151	159333850	48160	26594	-0.057	0.493	1	1	-0.076	0.019
patient2_p2	chr8	206001	4167000	3329	4226	0.371	0.364	2	1	0.473	0.335
patient2_p2	chr8	4167001	4278000	99	101	-0.078	0.483	1	1	-0.104	0.045
patient2_p2	chr8	4278001	12037600	5974	6364	0.414	0.367	2	1	0.527	0.325
patient2_p2	chr8	12125601	12136600	10	22	1.242	0.493	3	3	1.49	0.017
patient2_p2	chr8	12614051	27087050	13297	11281	0.41	0.365	2	1	0.521	0.331
patient2_p2	chr8	27087051	27122050	26	42	0.773	0.302	3	1	0.954	0.462
patient2_p2	chr8	27122051	46613350	15792	7517	0.428	0.366	2	1	0.544	0.328
patient2_p2	chr8	46613351	46633350	20	0	1.13	NA	NA	NA	1.363	NA
patient2_p2	chr8	46633351	145075350	90895	51933	0.423	0.366	2	1	0.537	0.327
patient2_p2	chr9	11001	138208550	99217	56505	-0.02	0.498	1	1	-0.026	0.004
patient2_p2	chr10	47451	54523500	44936	30897	-0.082	0.485	1	1	-0.11	0.04
patient2_p2	chr10	54523501	54748500	206	127	-0.691	0.204	1	0	-1.011	0.978
patient2_p2	chr10	54748501	103008500	43467	26171	-0.015	0.495	1	1	-0.019	0.014
patient2_p2	chr10	103010501	133621150	28344	16479	0.074	0.467	1	1	0.097	0.086
patient2_p2	chr11	197251	22812100	20390	14885	-0.025	0.486	1	1	-0.033	0.038
patient2_p2	chr11	22812101	22874100	56	35	-0.767	0.231	1	0	-1.139	0.922
patient2_p2	chr11	22874101	34188450	10396	5876	-0.028	0.491	1	1	-0.037	0.024
patient2_p2	chr11	34188451	35009700	617	543	0.451	0.362	2	1	0.572	0.336
patient2_p2	chr11	35009701	45680700	9973	5212	-0.038	0.495	1	1	-0.051	0.014
patient2_p2	chr11	45680701	45918700	227	107	-0.708	0.189	1	0	-1.04	1.036
patient2_p2	chr11	45918701	62523150	11326	7251	-0.023	0.497	1	1	-0.03	0.008
patient2_p2	chr11	62523151	62579150	50	0	0.415	NA	NA	NA	0.528	NA
patient2_p2	chr11	62581151	67027150	3811	834	0.001	0.489	1	1	0.001	0.029
patient2_p2	chr11	67028151	67572150	449	77	0.462	0.357	2	1	0.584	0.348
patient2_p2	chr11	67572151	74254450	5865	3057	0.001	0.493	1	1	0.001	0.018
patient2_p2	chr11	74254451	74990450	651	138	0.449	0.372	2	1	0.568	0.311
patient2_p2	chr11	74990451	101071400	23711	15461	-0.029	0.495	1	1	-0.039	0.013
patient2_p2	chr11	101071401	102660400	1450	704	0.429	0.368	2	1	0.545	0.324
patient2_p2	chr11	102660401	135046250	30080	18886	-0.027	0.495	1	1	-0.036	0.012
patient2_p2	chr11	135047251	135075250	28	31	-0.536	0.485	1	1	-0.763	0.045
patient2_p2	chr12	78551	732150	546	468	-0.025	0.476	1	1	-0.033	0.065
patient2_p2	chr12	732151	888150	125	102	-0.646	0.223	1	0	-0.938	0.897
patient2_p2	chr12	888151	2130150	1110	690	0.005	0.495	1	1	0.007	0.014
patient2_p2	chr12	2136151	2148150	12	0	-1.042	NA	NA	NA	-1.648	NA
patient2_p2	chr12	2148151	37914850	29729	20314	-0.022	0.491	1	1	-0.029	0.024
patient2_p2	chr12	37914851	38097850	171	263	0.37	0.366	2	1	0.472	0.331
patient2_p2	chr12	38097851	71158550	29849	16544	-0.012	0.493	1	1	-0.016	0.019
patient2_p2	chr12	71158551	71191550	32	32	0.798	0.288	3	1	0.984	0.492
patient2_p2	chr12	71191551	111439750	36913	20204	-0.023	0.495	1	1	-0.03	0.014
patient2_p2	chr12	111439751	112242750	645	52	0.506	0.399	2	1	0.639	0.245
patient2_p2	chr12	112242751	133248950	18416	13309	-0.013	0.495	1	1	-0.018	0.014
patient2_p2	chr13	18355101	57037100	35018	21873	0.009	0.494	1	1	0.012	0.016
patient2_p2	chr13	57037101	57256500	133	36	0.549	0.349	2	1	0.69	0.363
patient2_p2	chr13	57257501	114351950	52498	31879	-0.003	0.494	1	1	-0.004	0.015
patient2_p2	chr14	19960301	35048350	13020	7647	-0.003	0.492	1	1	-0.004	0.021
patient2_p2	chr14	35048351	35708350	561	120	0.585	0.351	2	1	0.733	0.357
patient2_p2	chr14	35708351	91627850	51029	27024	0.05	0.49	1	1	0.066	0.025
patient2_p2	chr14	91627851	91984850	325	87	0.541	0.353	2	1	0.68	0.354
patient2_p2	chr14	91984851	106883450	13024	8160	0.059	0.485	1	1	0.078	0.039
patient2_p2	chr15	17034751	23123050	532	395	-0.717	0.208	1	0	-1.054	0.977
patient2_p2	chr15	23368151	23426150	50	2	0.149	0.4	2	1	0.195	0.256
patient2_p2	chr15	23434151	101885550	68467	42097	-0.678	0.206	1	0	-0.99	0.965
patient2_p2	chr16	17001	16222250	13522	11784	-0.659	0.206	1	0	-0.959	0.959
patient2_p2	chr16	16449251	16653250	36	8	0.123	0.427	1	1	0.161	0.188
patient2_p2	chr16	16749251	18214250	1215	680	-0.684	0.208	1	0	-0.999	0.961
patient2_p2	chr16	18536251	18621250	20	0	0.221	NA	NA	NA	0.286	NA
patient2_p2	chr16	18658251	69956000	32456	14334	-0.671	0.206	1	0	-0.979	0.962
patient2_p2	chr16	69978001	70200000	77	22	0.212	0.482	1	1	0.274	0.046
patient2_p2	chr16	70206001	90100000	17299	14827	-0.667	0.204	1	0	-0.971	0.967
patient2_p2	chr17	387901	1078850	510	437	-0.046	0.134	2	0	-0.061	0.981
patient2_p2	chr17	1079851	1721750	501	377	0.436	0.102	3	0	0.552	0.973
patient2_p2	chr17	1723751	28845950	18841	11131	-0.009	0.131	2	0	-0.012	0.979
patient2_p2	chr17	28846951	29626950	659	121	0.476	0.096	3	0	0.602	0.981
patient2_p2	chr17	29626951	39667200	7899	4266	0.011	0.131	2	0	0.014	0.975
patient2_p2	chr17	39668201	40382200	596	349	0.432	0.098	3	0	0.547	0.982
patient2_p2	chr17	40382201	41397200	909	541	0.012	0.129	2	0	0.016	0.979
patient2_p2	chr17	41397201	41719200	292	177	0.42	0.094	3	0	0.534	0.994
patient2_p2	chr17	41720201	44807050	2454	1077	0.024	0.132	2	0	0.031	0.97
patient2_p2	chr17	44807051	45496050	556	304	0.459	0.097	3	0	0.581	0.98
patient2_p2	chr17	45505051	49917300	3088	1577	0.025	0.128	2	0	0.033	0.979
patient2_p2	chr17	49917301	50494300	519	289	0.49	0.093	3	0	0.618	0.986
patient2_p2	chr17	50494301	83204050	28789	16684	0.011	0.129	2	0	0.015	0.98
patient2_p2	chr18	64351	80257250	68030	39234	-0.071	0.495	1	1	-0.095	0.014
patient2_p2	chr19	270951	610950	240	190	0.014	0.491	1	1	0.019	0.024
patient2_p2	chr19	610951	1060950	342	362	0.392	0.386	2	1	0.499	0.279
patient2_p2	chr19	1063951	1168950	87	78	-0.015	0.49	1	1	-0.02	0.028
patient2_p2	chr19	1168951	1688950	413	194	-0.647	0.206	1	0	-0.94	0.953
patient2_p2	chr19	1689951	1815950	87	27	0.013	0.488	1	1	0.018	0.033
patient2_p2	chr19	1815951	3800950	1518	1007	-0.449	0.299	1	0	-0.631	0.605
patient2_p2	chr19	3800951	3846950	37	8	0.348	0.342	2	1	0.446	0.392
patient2_p2	chr19	3846951	5265950	1035	729	-0.444	0.307	1	0	-0.623	0.579
patient2_p2	chr19	5265951	5844950	447	306	0.023	0.494	1	1	0.031	0.014
patient2_p2	chr19	5844951	8317750	1850	1135	0.383	0.392	2	1	0.488	0.267
patient2_p2	chr19	8319751	8370750	31	51	0.024	0.484	1	1	0.031	0.043
patient2_p2	chr19	8370751	10014250	1282	809	0.396	0.388	2	1	0.504	0.274
patient2_p2	chr19	10014251	10286250	202	113	0.035	0.494	1	1	0.046	0.014
patient2_p2	chr19	10286251	10937250	485	230	0.384	0.394	2	1	0.489	0.262
patient2_p2	chr19	10938251	11128250	146	42	0.026	0.493	1	1	0.034	0.019
patient2_p2	chr19	11129251	11651250	383	229	0.394	0.393	2	1	0.501	0.264
patient2_p2	chr19	11651251	12649250	796	272	0.05	0.485	1	1	0.065	0.04
patient2_p2	chr19	12651251	13197250	429	135	0.494	0.357	2	1	0.623	0.345
patient2_p2	chr19	13199251	13320250	93	62	0.771	0.297	3	1	0.953	0.473
patient2_p2	chr19	13320251	13429250	93	78	0.17	0.482	1	1	0.221	0.045
patient2_p2	chr19	13430251	13925250	385	180	0.472	0.36	2	1	0.596	0.341
patient2_p2	chr19	13926251	14794250	622	277	0.139	0.481	1	1	0.181	0.049
patient2_p2	chr19	14794251	14872250	70	76	0.473	0.355	2	1	0.598	0.352
patient2_p2	chr19	14872251	17438250	2074	1434	0.136	0.471	1	1	0.178	0.075
patient2_p2	chr19	17441251	20554500	2434	1225	0.454	0.372	2	1	0.575	0.311
patient2_p2	chr19	20554501	20782500	194	399	0.133	0.466	1	1	0.174	0.086
patient2_p2	chr19	20782501	20923500	129	16	0.476	0.36	2	1	0.602	0.339
patient2_p2	chr19	20923501	21233500	274	134	0.104	0.454	1	1	0.136	0.119
patient2_p2	chr19	21233501	21459500	194	278	0.462	0.376	2	1	0.585	0.302
patient2_p2	chr19	21460501	21729500	228	231	0.073	0.477	1	1	0.096	0.061
patient2_p2	chr19	21729501	24035500	1983	943	0.41	0.365	2	1	0.521	0.33
patient2_p2	chr19	24035501	28548150	1391	1699	0.041	0.466	1	1	0.054	0.089
patient2_p2	chr19	28549151	28911150	336	510	0.402	0.372	2	1	0.512	0.313
patient2_p2	chr19	28911151	33916150	4563	2795	0.088	0.47	1	1	0.115	0.078
patient2_p2	chr19	33916151	34053150	124	59	0.466	0.397	2	1	0.59	0.25
patient2_p2	chr19	34053151	34166150	100	100	0.14	0.488	1	1	0.182	0.03
patient2_p2	chr19	34166151	36377450	1828	968	0.43	0.366	2	1	0.545	0.327
patient2_p2	chr19	36377451	36883450	411	292	0.148	0.49	1	1	0.193	0.025
patient2_p2	chr19	36883451	37064450	157	12	0.464	0.456	2	1	0.587	0.107
patient2_p2	chr19	37064451	37576050	395	81	0.137	0.467	1	1	0.178	0.084
patient2_p2	chr19	37576051	37883050	252	169	0.487	0.359	2	1	0.615	0.342
patient2_p2	chr19	37883051	41804300	3212	2373	0.106	0.482	1	1	0.139	0.047
patient2_p2	chr19	41804301	47793450	4519	2666	-0.305	0.382	1	1	-0.419	0.339
patient2_p2	chr19	47795451	48492450	487	308	0.138	0.472	1	1	0.18	0.073
patient2_p2	chr19	48493451	48668450	122	102	0.427	0.378	2	1	0.542	0.297
patient2_p2	chr19	48669451	57785400	7222	5061	0.116	0.467	1	1	0.152	0.086
patient2_p2	chr19	57786401	58538400	618	311	0.439	0.365	2	1	0.556	0.33
patient2_p2	chr20	67651	30995650	25033	14869	0.358	0.385	2	1	0.456	0.283
patient2_p2	chr20	31245751	32665750	1217	354	0.488	0.351	2	1	0.616	0.362
patient2_p2	chr20	32666751	39042750	5447	2353	0.042	0.491	1	1	0.055	0.023
patient2_p2	chr20	39042751	50054950	10017	5012	0.439	0.365	2	1	0.556	0.329
patient2_p2	chr20	50055951	50404950	307	147	0.77	0.286	3	1	0.951	0.5
patient2_p2	chr20	50404951	64285950	12609	8515	0.441	0.369	2	1	0.558	0.32
patient2_p2	chr21	12965551	30911800	16036	9217	-0.031	0.493	1	1	-0.041	0.018
patient2_p2	chr21	30911801	31650800	650	338	0.446	0.372	2	1	0.565	0.313
patient2_p2	chr21	31650801	33138800	1368	831	-0.002	0.493	1	1	-0.003	0.02
patient2_p2	chr21	33138801	33465800	285	95	0.455	0.374	2	1	0.576	0.308
patient2_p2	chr21	33465801	46681650	11415	8050	-0.016	0.496	1	1	-0.02	0.011
patient2_p2	chr22	10684001	40120000	19593	8547	-0.013	0.132	2	0	-0.018	0.978
patient2_p2	chr22	40120001	40523000	335	182	-0.635	0.218	1	0	-0.92	0.911
patient2_p2	chr22	40523001	43688000	2531	1078	0.014	0.131	2	0	0.018	0.974
patient2_p2	chr22	43688001	43913000	209	90	-0.605	0.216	1	0	-0.871	0.905
patient2_p2	chr22	43914001	50776650	6143	4364	-0.005	0.128	2	0	-0.006	0.985
patient2_p2	chrX	330051	153986150	127085	39902	-0.696	0.208	1	0	-1.019	0.968
patient2_p2	chrX	153986151	154528150	313	13	0	0.182	2	0	0	0.841
patient2_p2	chrX	154530151	155983250	1096	155	-0.688	0.217	1	0	-1.007	0.936
patient1_p1	chr1	794251	34283500	27258	13201	0.015	0.366	2	1	0.019	0.339
patient1_p1	chr1	34283501	36126500	1611	416	0.232	0.491	2	2	0.288	0.021
patient1_p1	chr1	36127501	36829500	603	335	0.098	0.391	2	1	0.123	0.272
patient1_p1	chr1	36829501	37222500	371	94	0.375	0.491	2	2	0.46	0.021
patient1_p1	chr1	37222501	37858500	565	285	0.733	0.389	4	2	0.878	0.254
patient1_p1	chr1	37858501	39553500	1459	558	1.82	0.175	11	2	2.072	0.691
patient1_p1	chr1	39553501	39690500	113	1	2.115	0.485	9	8	2.384	0.032
patient1_p1	chr1	39690501	39777500	69	19	2.838	0.108	26	3	3.135	0.808
patient1_p1	chr1	39778501	40314500	452	184	0.667	0.411	3	2	0.802	0.206
patient1_p1	chr1	40314501	40772500	394	292	1.369	0.238	8	2	1.586	0.57
patient1_p1	chr1	40772501	40934500	144	82	0.417	0.491	2	2	0.51	0.021
patient1_p1	chr1	40935501	41583500	600	234	0.788	0.355	4	2	0.941	0.331
patient1_p1	chr1	41583501	43054500	1336	645	0.347	0.494	2	2	0.427	0.013
patient1_p1	chr1	43054501	45188500	1867	859	0.128	0.406	2	1	0.161	0.232
patient1_p1	chr1	45188501	46283500	906	153	0.315	0.483	2	2	0.388	0.041
patient1_p1	chr1	46283501	61372500	13864	4618	-0.013	0.374	2	1	-0.016	0.321
patient1_p1	chr1	61372501	61537500	154	53	0.328	0.488	2	2	0.404	0.028
patient1_p1	chr1	61537501	104207350	39320	19423	-0.063	0.361	2	1	-0.081	0.355
patient1_p1	chr1	104207351	104455350	235	325	2.214	0.122	16	2	2.487	0.792
patient1_p1	chr1	104455351	106198350	1612	794	-0.114	0.37	2	1	-0.146	0.338
patient1_p1	chr1	106198351	106647350	430	162	2.285	0.124	17	2	2.561	0.785
patient1_p1	chr1	106647351	106802350	151	3	2.015	0.484	8	8	2.278	0.034
patient1_p1	chr1	106802351	107696350	850	328	2.558	0.1	21	2	2.846	0.83
patient1_p1	chr1	107696351	117298350	8584	4394	-0.017	0.368	2	1	-0.022	0.336
patient1_p1	chr1	117298351	121603350	2738	1502	0.284	0.486	2	2	0.351	0.034
patient1_p1	chr1	124978901	227437750	71841	36646	-0.004	0.354	2	1	-0.005	0.369
patient1_p1	chr1	227437751	236595750	8257	2952	0.336	0.493	2	2	0.414	0.016
patient1_p1	chr1	236595751	248930600	10822	6605	0.13	0.449	2	2	0.162	0.126
patient1_p1	chr2	11001	119063450	100728	50750	0.274	0.485	2	2	0.339	0.037
patient1_p1	chr2	119063451	242110100	113019	52101	0.215	0.489	2	2	0.267	0.027
patient1_p1	chr3	12351	89350	74	30	0.379	0.315	3	1	0.465	0.441
patient1_p1	chr3	89351	68994550	63062	32741	-0.04	0.362	2	1	-0.051	0.351
patient1_p1	chr3	68994551	70887450	1759	1031	0.593	0.418	3	2	0.717	0.192
patient1_p1	chr3	70887451	71055450	155	54	1.413	0.236	8	2	1.634	0.574
